Ticker&Date, BandWidth, BoilUpper, close, BoilLower, BoilPercent,divergence,signal,macd,divergence%,rsi,sma60,sma20,sma5,mfi,stochK,stochD,lastTradeDate
CRK20170909,0.7358,6.6859,6.11999988556,5.9501,0.230904981733,0.0201,-0.1107,-0.0906,0.00328431378691,39.6991,6.6805,6.318,6.356,44.9651,44.0476,68.2539,1504877400
YUME20170909,1.632,5.7935,4.71999979019,4.1615,0.342218008696,-0.0851,0.1301,0.0449,-0.0180296618184,47.0527,4.7478,4.9775,4.762,56.9517,16.25,7.0965,1504877400
MACK20170909,2.575,14.049,14.0399999619,11.474,0.996504839555,0.0646,0.0,0.0645,0.00460113961364,58.9677,12.9955,12.7615,12.826,53.905,99.6183,58.6099,1504877400
EXXI20170909,6.615,14.505,10.3500003815,7.89,0.371882143835,0.2338,-2.0733,-1.8394,0.0225893711481,23.759,16.8705,11.1975,10.382,47.4303,33.5571,36.9128,1504877400
ONVI20170909,0.4716,4.6458,4.30000019073,4.1742,0.266751888751,-0.0225,0.0214,-0.0011,-0.00523255790743,44.5856,4.3775,4.41,4.35,27.1464,33.3334,31.9445,1504877400
AMDA20170909,0.0613,0.3619,0.317999988794,0.3006,0.283849735633,-0.0003,-0.0102,-0.0105,-0.000943396259658,43.1809,0.3544,0.3313,0.3174,33.3796,52.9412,52.1086,1504877400
CSIQ20170909,2.5798,17.2939,16.2999992371,14.7141,0.61473728082,0.0574,-0.0943,-0.0368,0.00352147255746,54.0749,15.9747,16.004,16.158,51.7401,70.8738,66.3989,1504877400
ARWR20170909,1.8306,3.4008,3.1099998951,1.5702,0.841144922482,0.0603,0.2788,0.3391,0.0193890681781,70.1534,1.9358,2.4855,3.052,77.8954,78.6207,87.8448,1504877400
EMITF20170909,0.084,2.899,2.8900001049,2.815,0.892858391716,0.0099,-0.0222,-0.0123,0.00342560541199,50.472,2.9305,2.857,2.876,65.2918,48.0,72.3725,1504877400
ASPS20170909,5.1896,24.4918,23.6000003815,19.3022,0.828156386132,0.3256,-0.2348,0.0907,0.0137966099465,58.0509,22.6395,21.897,23.184,67.7619,93.1818,88.1313,1504877400
CBL.TO20170909,0.8688,11.4054,10.8800001144,10.5366,0.395257958611,0.117,-0.8104,-0.6934,0.0107536763575,32.1096,13.4784,10.971,10.894,67.6752,42.8572,29.7896,1504877400
PATK20170909,7.6038,75.5669,73.5500030518,67.9631,0.734751446876,0.3252,-0.3331,-0.0079,0.00442148180159,53.979,73.4588,71.765,72.76,63.5941,72.0721,64.1356,1504877400
ADMS20170909,13.4912,24.5846,21.8700008392,11.0934,0.798787419891,0.5151,0.9376,1.4528,0.0235528111675,70.0939,17.4662,17.839,21.568,74.499,91.8671,88.0167,1504877400
FRGI20170909,2.9378,19.0789,15.8999996185,16.1411,-0.0820683441588,-0.1377,-0.3432,-0.481,-0.00866037756627,32.2901,18.5442,17.61,16.88,39.1711,13.7931,13.825,1504877400
REXX20170909,0.5166,2.6003,2.27999997139,2.0837,0.379984458749,0.012,-0.1414,-0.1294,0.00526315796078,38.5985,2.7147,2.342,2.222,26.4042,45.0,42.5,1504877400
PLPM20170909,0.6848,4.1289,3.8900001049,3.4441,0.651139171881,0.0116,0.1342,0.1458,0.00298200506097,59.2293,3.4993,3.7865,4.0,71.2266,53.2258,66.9727,1504877400
STXS20170909,0.2206,0.7288,0.72000002861,0.5082,0.96010892389,0.0112,0.016,0.0272,0.0155555549374,65.4062,0.593,0.6185,0.688,58.272,95.4546,87.3738,1504877400
